"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9HNCA9CZ","journalArticle","2017","Anderson, GH.; Jenkins, PJ.; McDonald, DA.; Van Der Meer, R.; Morton, A.; Nugent, M.; Rymaszewski, LA.","Cost comparison of orthopaedic fracture pathways using discrete event simulation in a Glasgow hospital.","BMJ open","","20446055","10.1136/bmjopen-2016-014509","https://bmjopen.bmj.com/content/7/9/e014509","Objective Healthcare faces the continual challenge of improving outcome while aiming to reduce cost. The aim of this study was to determine the micro cost differences of the Glasgow non-operative trauma virtual pathway in comparison to a traditional pathway. Design Discrete event simulation was used to model and analyse cost and resource utilisation with an activity-based costing approach. Data for a full comparison before the process change was unavailable so we used a modelling approach, comparing a virtual fracture clinic (VFC) with a simulated traditional fracture clinic (TFC). Setting The orthopaedic unit VFC pathway pioneered at Glasgow Royal Infirmary has attracted significant attention and interest and is the focus of this cost study. Outcome measures Our study focused exclusively on patients with non-operative trauma attending emergency department or the minor injuries unit and the subsequent step in the patient pathway. Retrospective studies of patient outcomes as a result of the protocol introductions for specific injuries are presented in association with activity costs from the models. Results Patients are satisfied with the new pathway, the information provided and the outcome of their injuries (Evidence Level IV). There was a 65% reduction in the number of first outpatient face-to-face (f2f) attendances in orthopaedics. In the VFC pathway, the resources required per day were significantly lower for all staff groups (p≤0.001). The overall cost per patient of the VFC pathway was £22.84 (95% CI 21.74 to 23.92) per patient compared with £36.81 (95% CI 35.65 to 37.97) for the TFC pathway. Conclusions Our results give a clearer picture of the cost comparison of the virtual pathway over a wholly traditional f2f clinic system. The use of simulation-based stochastic costings in healthcare economic analysis has been limited to date, but this study provides evidence for adoption of this method as a basis for its application in other healthcare settings.","2017-09-07","2025-02-24 19:16:09","2025-02-24 19:16:09","","1-12","","","7","","","","","","","","","","en","","","","","","","","","","","Discrete event simulation; Emergency department; costs; Medical emergency; Health care; Pediatrics; Medicine; Resource (project management); Retrospective cohort study; Orthopedic surgery; orthopaedics; Activity-based costing; fracture clinic; Protocol (science); outpatients; patient outcomes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KVZXN8DE","journalArticle","2022","Ltaif, A.; Ammar, A.; Khrifch, L.","A goal programming approach based on simulation and optimization to serve patients in an external orthopedic department","Journal of Simulation","","17477778","10.1080/17477778.2022.2032432","","ABSTRACTABSTRACTThis paper studies the problem of long waiting times for patients in the external department of orthopaedic surgery of Habib Bourguiba Hospital in Sfax, Tunisia. Three types of patients are treated and classified into two categories: those requiring only one treatment and those needing to consult doctors twice. In this paper, we aim to incorporate the priority-queue discipline for the first and second consultation, using simulation-optimisation and goal programming approach for the purpose of maximising patient satisfaction and reducing their waiting time. Our approach allows reducing average waiting time by 35% and increasing patient satisfaction by 30%.KEYWORDS: Simulation-optimisationorthopaedic surgerygoal programmingpriority-queue disciplinepatient flow AcknowledgmentsThe authors are grateful to thank Dr.Lajanf Hichem, general director of the Habib Bourguiba hospital’s external orthopedic surgery department in Sfax, for his invaluable help and the time he gave me to answer my questions. Their support is greatly appreciated.Disclosure statementNo potential conflict of interest was reported by the author(s).","2022-02-12","2025-02-24 19:16:10","2025-02-24 19:16:10","","509-519","","","17","","","","","","","","","","en","","","","","","","","","","","Simulation; Operations management; Operations research; Medical emergency; Queue; Queueing theory; Computer science; Medical physics; Medicine; Orthopedic surgery; Surgery; Engineering; Economics; Programming language; Computer network","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GH54KX2E","journalArticle","2019","Moretto, N.; Comans, T.; Chang, AT.; O'Leary, S.; Osborne, S.; Carter, HE.; Smith, DR.; Cavanagh, T.; Blond, D.; Raymer, M.","Implementation of simulation modelling to improve service planning in specialist orthopaedic and neurosurgical outpatient services","Implementation science : IS","","17485908","10.1186/s13012-019-0923-1","https://espace.library.uq.edu.au/view/UQ:ececed8","Background: Advanced physiotherapist-led services have been embedded in specialist orthopaedic and neurosurgical outpatient departments across Queensland, Australia, to ameliorate capacity constraints. Simulation modelling has been used to inform the optimal scale and professional mix of services required to match patient demand. The context and the value of simulation modelling in service planning remain unclear. We aimed to examine the adoption, context and costs of using simulation modelling recommendations to inform service planning. Methods: Using an implementation science approach, we undertook a prospective, qualitative evaluation to assess the use of discrete event simulation modelling recommendations for service re-design and to explore stakeholder perspectives about the role of simulation modelling in service planning. Five orthopaedic and neurosurgical services in Queensland, Australia, were selected to maximise variation in implementation effectiveness. We used the consolidated framework for implementation research (CFIR) to guide the facilitation and analysis of the stakeholder focus group discussions. We conducted a prospective costing analysis in each service to estimate the costs associated with using simulation modelling to inform service planning. Results: Four of the five services demonstrated adoption by inclusion of modelling recommendations into proposals for service re-design. Four CFIR constructs distinguished and two CFIR constructs did not distinguish between high versus mixed implementation effectiveness. We identified additional constructs that did not map onto CFIR. The mean cost of implementation was AU$34,553 per site (standard deviation = AU$737). Conclusions: To our knowledge, this is the first time the context of implementing simulation modelling recommendations in a health care setting, using a validated framework, has been examined. Our findings may provide valuable insights to increase the uptake of healthcare modelling recommendations in service planning.","2019-08-09","2025-02-24 19:16:11","2025-02-24 19:16:11","","78-78","","","14","","","","","","","","","","en, en","","","","","","","","","","","Discrete event simulation; Costs; Economic evaluation; Hospital; Implementation; Neurosurgery; Orthopaedics; Physiotherapy; Health care; Process management; Medicine; Health services research; Service (business); Context (language use); Stakeholder; Focus group; Activity-based costing; Implementation research","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X42R9MMY","journalArticle","2017","Persson, M.; Hvitfeldt-Forsberg, H.; Unbeck, M.; Sköldenberg, O.; Stark, A.; Kelly-Pettersson, P.; Mazzocato, P.","Operational strategies to manage non-elective orthopaedic surgical flows: a simulation modelling study","BMJ open","","20446055","10.1136/bmjopen-2016-013303","https://europepmc.org/articles/PMC5558823","Objectives To explore the value of simulation modelling in evaluating the effects of strategies to plan and schedule operating room (OR) resources aimed at reducing time to surgery for non-elective orthopaedic inpatients at a Swedish hospital. Methods We applied discrete-event simulation modelling. The model was populated with real world data from a university hospital with a strong focus on reducing waiting time to surgery for patients with hip fracture. The system modelled concerned two patient groups that share the same OR resources: hip-fracture and other non-elective orthopaedic patients in need of surgical treatment. We simulated three scenarios based on the literature and interaction with staff and managers: (1) baseline; (2) reduced turnover time between surgeries by 20 min and (3) one extra OR during the day, Monday to Friday. The outcome variables were waiting time to surgery and the percentage of patients who waited longer than 24 hours for surgery. Results The mean waiting time in hours was significantly reduced from 16.2 hours in scenario 1 (baseline) to 13.3 hours in scenario 2 and 13.6 hours in scenario 3 for hip-fracture surgery and from 26.0 hours in baseline to 18.9 hours in scenario 2 and 18.5 hours in scenario 3 for other non-elective patients. The percentage of patients who were treated within 24 hours significantly increased from 86.4% (baseline) to 96.1% (scenario 2) and 95.1% (scenario 3) for hip-fracture patients and from 60.2% (baseline) to 79.8% (scenario 2) and 79.8% (scenario 3) for patients with other non-elective patients. Conclusions Healthcare managers who strive to improve the timelines of non-elective orthopaedic surgeries may benefit from using simulation modelling to analyse different strategies to support their decisions. In this specific case, the simulation results showed that the reduction of surgery turnover times could yield the same results as an extra OR.","2017-04-07","2025-02-24 19:16:12","2025-02-24 19:16:12","","e013303","","","7","","","","","","","","","","en","","","","","","","","","","","Simulation modelling; Operations management; Health care; simulation modelling; efficiency; Medicine; Orthopedic surgery; Surgery; Hip fracture; Quality management; Baseline (configuration management); University hospital; Schedule (workplace); Quality improvement; operating room; orthopaedic surgery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B4ZC2JKH","journalArticle","2020","Wood, RM.","Modelling the impact of COVID-19 on elective waiting times","Journal of Simulation","","17477778","10.1080/17477778.2020.1764876","","","2020-05-27","2025-02-24 19:16:13","2025-02-24 19:16:13","","101-109","","","16","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AJJKV93X","journalArticle","2002","Everett, J.","A decision support simulation model for the management of an elective surgery waiting system.","Health care management science","","13869620","10.1023/a:1014468613635","https://europepmc.org/article/MED/11993751","","2002-04","2025-02-24 19:16:14","2025-02-24 19:16:14","","89-95","","","5","","","","","","","","","","en","","","","","","","","","","","Operations management; Decision support system; Public hospital; Elective surgery; Medicine; Health administration; Management science; Elective Surgical Procedure; Needs assessment; Clinical decision support system; R-CAST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KQDXKY64","journalArticle","2023","Harper, A.; Pitt, M.; Monks, T.","Open-Source Modeling for Orthopedic Elective Capacity Planning using Discrete-Event Simulation","2023 Winter Simulation Conference (WSC)","","","10.1109/wsc60868.2023.10408227","","The increase in elective surgical waiting lists as a result of the COVID-19 pandemic is creating significant consequences for health services worldwide. In the UK, the allocation of capital funds to increase capacity for managing elective waits has created planning and operational challenges for health services. This paper reports on the development and deployment of an interactive web-based discrete-event simulation model for supporting capacity planning of surgical activity and ward stay in a proposed new ring-fenced orthopedic facility in a UK health service. The model is free and open-source and developed to be generic and applicable for new capacity planning of elective recovery in orthopedics in other regions. With minor adaptations it can also be readily modified for application to other specialties. Given the current relevance of managing record elective waiting lists, there is potential widespread applicability of the simulation model which is supported by our open approach to modeling.","2023-12-10","2025-02-24 19:16:16","2025-02-24 19:16:16","","1077-1087","","","","","","","","","","","","","en","","","","","","","","","","","Simulation; Capacity planning; Discrete event simulation; Operations management; Operations research; Computer science; Medicine; Orthopedic surgery; Surgery; Physics; Engineering; Event (particle physics); Quantum mechanics; Law; Operating system; Political science; Software deployment; Relevance (law)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FC3PIA2D","journalArticle","2010","Rohleder, TR.; Lewkonia, P.; Bischak, DP.; Duffy, P.; Hendijani, R.","Using simulation modeling to improve patient flow at an outpatient orthopedic clinic.","Health care management science","","13869620","10.1007/s10729-010-9145-4","https://prism.ucalgary.ca/handle/1880/48750","","2010-12-09","2025-02-24 19:16:16","2025-02-24 19:16:16","","135-145","","","14","","","","","","","","","","en","","","","","","","","","","","Patient flow; Discrete event simulation; Medical emergency; Simulation modeling; Staffing; Outpatient clinic; Medicine; Health administration; Health informatics; Orthopedic clinic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALBSB8L8","journalArticle","2018","Suhaimi, N.; Vahdat, V.; Griffin, J.","BUILDING A FLEXIBLE SIMULATION MODEL FOR MODELING MULTIPLE OUTPATIENT ORTHOPEDIC CLINICS","2018 Winter Simulation Conference (WSC)","","","10.1109/wsc.2018.8632451","","Often large health care organizations will have multiple satellite clinics in addition to the primary flagship location. The value of having multiple clinics includes the ability to better serve patients by improving accessibility while also increasing efficiencies from common structures and policies. Unlike most simulation models of health care clinics, which are uniquely designed for one specific location and are not easily adapted without significant effort, we develop one flexible discrete-event simulation model to represent two orthopedic centers. In addition to demonstrating the validity of employing the same model for two clinics, a graphical user interface is constructed to enable the clinic managers to modify simulation parameters, minimizing the need for future model adaptations. The value of the simulation model is verified by evaluating the effects of new policies impacting the role of mid-level providers and results show that the best policy for improving timeliness of care varies among clinics.","2018-12","2025-02-24 19:16:16","2025-02-24 19:16:16","","2612-2623","","","","","","","","","","","","","en","","","","","","","","","","","Simulation; Discrete event simulation; Health care; Machine learning; Outpatient clinic; Computer science; Medicine; Internal medicine; Physics; Economics; Economic growth; Event (particle physics); Quantum mechanics; Value (mathematics)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5QTJ926P","journalArticle","2002","Bowers, J.; Mould, G.","The deferrable elective patient: a means of reducing waiting-lists in orthopaedics","Journal of management in medicine","","02689235","10.1108/02689230210434899","https://www.ncbi.nlm.nih.gov/pubmed/12211341","The orthopaedic trauma session is almost universally adopted as a means of coping with non‐elective orthopaedic demand. Here patients who can be stabilised are treated in a weekday planned theatre session. It allows for greater consultant involvement and a reduction in out‐of‐hours operating. The utilisation of trauma theatre time is typically low. However, there is an opportunity to make better use of this time by including some “deferrable elective patients” in the session. These are elective patients who have been offered earlier treatment in return for accepting the possibility of postponement, if the trauma demand on the day of the appointment is high. Simulation of patient demand was used to explore the balance between maximising the utilisation of the theatre sessions, avoiding too many overruns and ensuring a reasonable quality of care in a typical hospital in the UK.","2002-04-01","2025-02-24 19:16:16","2025-02-24 19:16:16","","150-158","","","16","","","","","","","","","","en","","","","","","","","","","","Medical emergency; Health care; Medicine; Orthopedic surgery; Orthopaedic trauma; Quality of care; Time management; Coping (psychology); Postponement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7NIAMD8E","journalArticle","2014","Baril, C.; Gascon, V.; Cartier, S.","Design and analysis of an outpatient orthopaedic clinic performance with discrete event simulation and design of experiments","Computers & Industrial Engineering","","03608352","10.1016/j.cie.2014.05.006","https://dl.acm.org/doi/10.1016/j.cie.2014.05.006","","2014-12","2025-02-24 19:16:18","2025-02-24 19:16:18","","285-298","","","78","","","","","","","","","","en","","","","","","","","","","","Discrete event simulation; Design of experiments; Operations management; Health care; Outpatient clinic; Computer science; Scheduling (computing); Outpatient service; Orthopaedic clinic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GXYQIZQD","journalArticle","2022","Howlett, NC.; Wood, RM.","Modeling the Recovery of Elective Waiting Lists Following COVID-19: Scenario Projections for England.","Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research","","15244733","10.1016/j.jval.2022.06.016","https://www.medrxiv.org/content/medrxiv/early/2021/12/14/2021.12.13.21267732.full.pdf","<AbstractText Label=""OBJECTIVES"" NlmCategory=""OBJECTIVE"">A significant indirect impact of COVID-19 has been the increasing elective waiting times observed in many countries. In England's National Health Service, the waiting list has grown from 4.4 million in February 2020 to 5.7 million by August 2021. The objective of this study was to estimate the trajectory of future waiting list size and waiting times up to December 2025.</AbstractText> <AbstractText Label=""METHODS"" NlmCategory=""METHODS"">A scenario analysis was performed using computer simulation and publicly available data as of November 2021. Future demand assumed a phased return of various proportions (0%, 25%, 50%, and 75%) of the estimated 7.1 million referrals ""missed"" during the pandemic. Future capacity assumed 90%, 100%, and 110% of that provided in the 12 months immediately before the pandemic.</AbstractText> <AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">As a worst-case scenario, the waiting list would reach 13.6 million (95% confidence interval 12.4-15.6 million) by Autumn 2022, if 75% of missed referrals returned and only 90% of prepandemic capacity could be achieved. The proportion of patients waiting under 18 weeks would reduce from 67.6% in August 2021 to 42.2% (37.4%-46.2%) with the number waiting over 52 weeks reaching 1.6 million (0.8-3.1 million) by Summer 2023. At this time, 29.0% (21.3%-36.8%) of patients would be leaving the waiting list before treatment. Waiting lists would remain pressured under even the most optimistic of scenarios considered, with 18-week performance struggling to maintain 60%.</AbstractText> <AbstractText Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"">This study reveals the long-term challenge for the National Health Service in recovering elective waiting lists and potential implications for patient outcomes and experience.</AbstractText> <CopyrightInformation>Copyright © 2022. Published by Elsevier Inc.</CopyrightInformation>","2022-08-11","2025-02-24 19:16:19","2025-02-24 19:16:19","","1805-1813","","","25","","","","","","","","","","en","","","","","","","","","","","COVID-19; Coronavirus disease 2019 (COVID-19); Operations research; waiting times; computer simulation; Computer science; Medicine; Internal medicine; Mathematics; Economics; waiting lists; Disease; Infectious disease (medical specialty); Outbreak; 2019-20 coronavirus outbreak; Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2); Virology; elective backlog; elective performance; Market economy; Middle class; New england","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T5Q95RM8","journalArticle","2013","Weerawat, W.; Pichitlamken, J.; Subsombat, P.","A Generic Discrete-Event Simulation Model for Outpatient Clinics in a Large Public Hospital","Journal of healthcare engineering","","20402295","10.1260/2040-2295.4.2.285","https://www.ncbi.nlm.nih.gov/pubmed/23778015","The orthopedic outpatient department (OPD) ward in a large Thai public hospital is modeled using Discrete-Event Stochastic (DES) simulation. Key Performance Indicators (KPIs) are used to measure effects across various clinical operations during different shifts throughout the day. By considering various KPIs such as wait times to see doctors, percentage of patients who can see a doctor within a target time frame, and the time that the last patient completes their doctor consultation, bottlenecks are identified and resource-critical clinics can be prioritized. The simulation model quantifies the chronic, high patient congestion that is prevalent amongst Thai public hospitals with very high patient-to-doctor ratios. Our model can be applied across five different OPD wards by modifying the model parameters. Throughout this work, we show how DES models can be used as decision-support tools for hospital management.","2013-06-18","2025-02-24 19:16:22","2025-02-24 19:16:22","","285-305","","","4","","","","","","","","","","en","","","","","","","","","","","Discrete event simulation; Medical emergency; Public hospital; Outpatient clinic; Medicine; Emergency medicine; Performance indicator; Time frame; Model parameters","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IC9QPXN7","journalArticle","2010","Dehlendorff, C.; Kulahci, M.; Andersen, KK.","Analysis of computer experiments with multiple noise sources","Quality and Reliability Engineering International","","07488017","10.1002/qre.1035","https://doi.org/10.1002/qre.1035","In this paper we present a modeling framework for analyzing computer models with two types of variations. The paper is based on a case study of an orthopedic surgical unit, which has both controllable and uncontrollable factors. Our results show that this structure of variation can be modeled effectively with linear mixed effects models and generalized additive models. Copyright © 2009 John Wiley & Sons, Ltd.","2010-02-10","2025-02-24 19:16:22","2025-02-24 19:16:22","","137-146","","","26","","","","","","","","","","en","","","","","","","","","","","Simulation; Discrete event simulation; Computer science; Algorithm; Structure (mathematical logic); Variation (game tree); Noise; Computer experiment; Generalized additive model; Mixed effects","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8WUFQCT2","journalArticle","2020","Saadouli, H.; Ltaif, A.","Evaluating the impact of human resource management on the patient flow at an outpatient orthopedic clinic","International Journal of Healthcare Management","","20479700","10.1080/20479700.2020.1788335","https://www.tandfonline.com/doi/full/10.1080/20479700.2020.1788335","This paper treats the problem of patient flow in an outpatient orthopedic clinic. A detailed description of the system and the main pathways followed by patients during their care process are provi...","2020-07-10","2025-02-24 19:16:23","2025-02-24 19:16:23","","1492-1500","","","14","","","","","","","","","","en","","","","","","","","","","","Patient flow; Discrete event simulation; Waiting time; Medical emergency; Medicine; Care process; Orthopedic clinic; Human resource management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SBWVCPYR","journalArticle","2016","Kittipittayakorn, C.; Ying, K.","Using the Integration of Discrete Event and Agent-Based Simulation to Enhance Outpatient Service Quality in an Orthopedic Department.","Journal of healthcare engineering","","20402295","10.1155/2016/4189206","https://pubmed.ncbi.nlm.nih.gov/27195606/","Many hospitals are currently paying more attention to patient satisfaction since it is an important service quality index. Many Asian countries' healthcare systems have a mixed-type registration, accepting both walk-in patients and scheduled patients. This complex registration system causes a long patient waiting time in outpatient clinics. Different approaches have been proposed to reduce the waiting time. This study uses the integration of discrete event simulation (DES) and agent-based simulation (ABS) to improve patient waiting time and is the first attempt to apply this approach to solve this key problem faced by orthopedic departments. From the data collected, patient behaviors are modeled and incorporated into a massive agent-based simulation. The proposed approach is an aid for analyzing and modifying orthopedic department processes, allows us to consider far more details, and provides more reliable results. After applying the proposed approach, the total waiting time of the orthopedic department fell from 1246.39 minutes to 847.21 minutes. Thus, using the correct simulation model significantly reduces patient waiting time in an orthopedic department.","2016","2025-02-24 19:16:23","2025-02-24 19:16:23","","4189206-8","","","2016","","","","","","","","","","en","","","","","","","","","","","Discrete event simulation; Medical emergency; Service quality; Patient satisfaction; Outpatient clinic; Medicine; Event (computing); Ambulatory care; Quality (business); Quality assurance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N5LDBQZE","journalArticle","2015","Saadouli, H.; Jerbi, B.; Dammak, A.; Masmoudi, L.; Bouaziz, A.","A stochastic optimization and simulation approach for scheduling operating rooms and recovery beds in an orthopedic surgery department","Computers & Industrial Engineering","","03608352","10.1016/j.cie.2014.11.021","https://www.sciencedirect.com/science/article/abs/pii/S0360835214004094","","2015-02","2025-02-24 19:16:23","2025-02-24 19:16:23","","72-79","","","80","","","","","","","","","","en","","","","","","","","","","","Discrete event simulation; Stochastic optimization; Integer programming; Elective surgery; Orthopedic surgery; Mathematical optimization; Engineering; Scheduling (computing); Job shop scheduling; Knapsack problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4LUF762R","journalArticle","2020","Reese, K.; Avansino, J.; Brumm, M.; Martin, LD.; Day, TE.","Determining future capacity for an Ambulatory Surgical Center with discrete event simulation","International Journal of Healthcare Management","","20479700","10.1080/20479700.2020.1720940","https://www.tandfonline.com/doi/full/10.1080/20479700.2020.1720940","Background: Ambulatory Surgical Centers (ASC) are providing an increasing number of patients with care for outpatient surgery. They represent a step forward in efficiency and service compared with ...","2020-02-03","2025-02-24 19:16:24","2025-02-24 19:16:24","","920-925","","","14","","","","","","","","","","en","","","","","","","","","","","Discrete event simulation; Medical emergency; Outpatient surgery; Medicine; Health administration; Ambulatory; Service (business); Center (algebra and category theory); Pediatric surgery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GRM45H3C","journalArticle","2013","Lu, T.; Kittipittayakorn, C.; Shih, J.; Lian, G.","CSCWD - Improving outpatient service quality in department of orthopedic surgery by using collaborative approaches","Proceedings of the 2013 IEEE 17th International Conference on Computer Supported Cooperative Work in Design (CSCWD)","","","10.1109/cscwd.2013.6581015","http://ieeexplore.ieee.org/document/6581015/","Nowadays, patient satisfaction is an important service quality index for many hospitals. In many Asian countries, healthcare system has a mixed-type registration which accepts for both walk-in patients and scheduled patients. It is different from western countries which accept only scheduled patients. A long waiting time (WT) of outpatient clinics is caused by this complex registration system. A survey questionnaire of patient satisfaction showed that the long waiting time is the most dissatisfied service quality for healthcare providers. This study focused on improving clinical services by using collaborative approaches to reduce outpatient waiting time for the healthcare providers. The collaborative approaches are scheduling approach with results presented in this paper and agent-based collaborative control system which is currently in progress. We collected and observed data for two months from real world situation and used data from hospital database for building and validating simulation models. Seven scheduling scenarios are performed: scenarios I adjusted proportion between walk-in patients and scheduled patients, scenario II-VI adjusted patient sequencing, and scenario VII adjusted late rate and applied a late policy for late patients. The scenario I (adjusting the proportion: 10% for walk-in patients and 90% for scheduled patients) has the highest percentage of waiting time improvement (average: 37.13 % for walk-in patients and 50.82 % for scheduled patients) compared with the other scenarios. The overall results show that adjusting proportion of patient scenario and patient sequencing scenario can improve patient waiting time in the mixed-type registration and are possible to apply to any outpatient clinics.","2013-06","2025-02-24 19:16:24","2025-02-24 19:16:24","","515-520","","","","","","","","","","","","","en","","","","","","","","","","","Simulation; Medical emergency; Health care; Service quality; Patient satisfaction; Healthcare system; Outpatient clinic; Computer science; Orthopedic surgery; Scheduling (computing); Job shop scheduling; Collaborative software; Outpatient service","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B7LL29AA","journalArticle","2015","Standfield, L.; Comans, T.; Scuffham, PA.","An empirical comparison of Markov cohort modeling and discrete event simulation in a capacity-constrained health care setting","The European journal of health economics : HEPAC : health economics in prevention and care","","16187601","10.1007/s10198-015-0756-z","https://link.springer.com/article/10.1007/s10198-015-0756-z","To empirically compare Markov cohort modeling (MM) and discrete event simulation (DES) with and without dynamic queuing (DQ) for cost-effectiveness (CE) analysis of a novel method of health services delivery where capacity constraints predominate. A common data-set comparing usual orthopedic care (UC) to an orthopedic physiotherapy screening clinic and multidisciplinary treatment service (OPSC) was used to develop a MM and a DES without (DES-no-DQ) and with DQ (DES-DQ). Model results were then compared in detail. The MM predicted an incremental CE ratio (ICER) of $495 per additional quality-adjusted life-year (QALY) for OPSC over UC. The DES-no-DQ showed OPSC dominating UC; the DES-DQ generated an ICER of $2342 per QALY. The MM and DES-no-DQ ICER estimates differed due to the MM having implicit delays built into its structure as a result of having fixed cycle lengths, which are not a feature of DES. The non-DQ models assume that queues are at a steady state. Conversely, queues in the DES-DQ develop flexibly with supply and demand for resources, in this case, leading to different estimates of resource use and CE. The choice of MM or DES (with or without DQ) would not alter the reimbursement of OPSC as it was highly cost-effective compared to UC in all analyses. However, the modeling method may influence decisions where ICERs are closer to the CE acceptability threshold, or where capacity constraints and DQ are important features of the system. In these cases, DES-DQ would be the preferred modeling technique to avoid incorrect resource allocation decisions.","2015-12-29","2025-02-24 19:16:25","2025-02-24 19:16:25","","33-47","","","18","","","","","","","","","","en","","","","","","","","","","","Discrete event simulation; DES; Cost-effectiveness; Resource allocation; Statistics; Cost effectiveness; Queue; Markov chain; Queueing theory; Computer science; Quality-adjusted life year; Cost–benefit analysis; Dynamic queuing; Markov cohort","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RQANBQFE","journalArticle","2018","Suhaimi, N.; Vahdat, V.; Griffin, J.","WSC - Building a flexible simulation model for modeling multiple outpatient orthopedic clinics","","","","","https://dl.acm.org/doi/10.5555/3320516.3320827","Often large health care organizations will have multiple satellite clinics in addition to the primary flagship location. The value of having multiple clinics includes the ability to better serve patients by improving accessibility while also increasing efficiencies from common structures and policies. Unlike most simulation models of health care clinics, which are uniquely designed for one specific location and are not easily adapted without significant effort, we develop one flexible discrete-event simulation model to represent two orthopedic centers. In addition to demonstrating the validity of employing the same model for two clinics, a graphical user interface is constructed to enable the clinic managers to modify simulation parameters, minimizing the need for future model adaptations. The value of the simulation model is verified by evaluating the effects of new policies impacting the role of mid-level providers and results show that the best policy for improving timeliness of care varies among clinics.","2018-12-09","2025-02-24 19:16:27","2025-02-24 19:16:27","","2612-2623","","","","","","","","","","","","","en","","","","","","","","","","","Operations research; Health care; Computer science; Medical services; Data modeling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A6VX2V2U","journalArticle","2025","Bovim, Thomas Reiten; Gullhav, Anders N.; Andersson, Henrik; Riise, Atle","A framework for integrated resource planning in surgical clinics","European Journal of Operational Research","","03772217","10.1016/j.ejor.2024.08.021","https://linkinghub.elsevier.com/retrieve/pii/S0377221724006441","","2025-01","2025-02-25 13:02:40","2025-02-25 13:02:40","2025-02-25 13:02:40","433-447","","2","320","","European Journal of Operational Research","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
